"snippet","data_ref","x","y","tied_data_refs"
"ais'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:74:22",102.482,24.096,""
"ais''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:53:25",102.482,16.072,""
"ais''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:32:25",102.482,8.047,""
"b'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:95:28",106.427,32.072,""
"b'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:74:28",106.427,24.096,""
"b''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:53:32",106.427,16.072,""
"b''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:32:32",106.427,8.047,""
"gis'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:95:32",108.762,32.072,""
"gis'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:74:32",108.762,24.096,""
"gis''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:53:37",108.762,16.072,""
"gis''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:32:37",108.762,8.047,""
